OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
75,2520.625411,289.2414886,109.2414886,-160.7930064,74.22054495
76,6565.635017,290.949669,110.949669,-160.7266216,74.20865706
77,4139.572374,116.7273011,116.7273011,-160.6591898,74.1987918
78,3873.519966,288.6974953,108.6974953,-160.7533831,74.21858584
79,5456.572776,287.216074,107.216074,-160.7252247,74.22804957
80,1569.552674,283.4455069,103.4455069,-160.764996,74.24102406
81,2158.657187,283.9877224,103.9877224,-160.744572,74.23400212
82,5811.980599,287.4945325,107.4945325,-160.7325261,74.22508615
83,3226.668378,287.8097098,107.8097098,-160.7533931,74.22288004
84,7637.14121,292.7379651,112.7379651,-160.687104,74.2100803
85,3232.569043,294.5312737,114.5312737,-160.615682,74.20717872
86,2626.507557,294.0391299,114.0391299,-160.5982689,74.2074232
87,2355.063239,285.224234,105.224234,-160.63137,74.25991959
88,1673.929924,118.1883738,118.1883738,-160.5610563,74.2472144
89,3564.768717,283.8285678,103.8285678,-160.633638,74.2642019
90,2394.245763,281.9068675,101.9068675,-160.6258777,74.27173787
91,3302.352675,285.7742404,105.7742404,-160.6140578,74.26500537
92,2249.312625,284.8000851,104.8000851,-160.607333,74.26240106
93,5262.257609,287.8216692,107.8216692,-160.628965,74.25560335
94,5466.463498,286.9217518,106.9217518,-160.6421384,74.25273321
95,4641.486264,287.1883118,107.1883118,-160.6280296,74.25207773
96,2320.117199,284.555916,104.555916,-160.6668666,74.25595247
97,3247.456815,289.3454667,109.3454667,-160.6248132,74.24323791
98,1223.283876,290.5222414,110.5222414,-160.6339253,74.24639993
99,1205.748799,289.490381,109.490381,-160.5948328,74.23915404
100,1664.443341,282.6492116,102.6492116,-160.6318564,74.28341676
101,1726.369547,280.9754437,100.9754437,-160.6364468,74.27545685
102,1819.712548,296.0386085,116.0386085,-160.5509131,74.26938315
103,1880.621288,300.6406488,120.6406488,-160.5595295,74.2670058
104,1685.019528,295.6142258,115.6142258,-160.5345404,74.27816467
105,1685.952045,114.2668974,114.2668974,-160.5199664,74.20441898
106,1760.446807,115.3850278,115.3850278,-160.521368,74.21055427
107,1235.015877,112.9758031,112.9758031,-160.5324908,74.21668714
108,1839.797521,97.87829901,97.87829901,-160.2617959,74.25256841
109,2405.52323,273.6451534,93.64515341,-160.2900015,74.25099453
110,1903.363559,272.7988315,92.79883149,-160.3179795,74.25676623
111,3505.062456,276.2482945,96.24829451,-160.2620785,74.26043276
112,2331.29204,120.7349529,120.7349529,-160.2569605,74.23801796
113,1725.060734,97.85331637,97.85331637,-160.2855337,74.24787592
114,1502.061289,98.3430086,98.3430086,-160.2571243,74.24987475
115,1079.957857,98.42543094,98.42543094,-160.2469208,74.25201243
116,1177.716812,272.373898,92.37389803,-160.3038176,74.25908522
117,1597.958382,276.5091077,96.50910771,-160.2633045,74.25652993
118,3083.273901,274.6549584,94.65495837,-160.2773051,74.26932398
119,3080.940417,274.9298657,94.92986569,-160.2795925,74.27171283
120,1230.927578,269.8922254,89.8922254,-160.3013842,74.26969979
121,948.4242746,275.2155332,95.21553315,-160.2969119,74.27064952
122,1551.9963,96.98124048,96.98124048,-160.267951,74.25866324
123,3287.422195,283.6095631,103.6095631,-160.4971204,74.2982275
124,3320.247102,282.6834306,102.6834306,-160.5017409,74.30391231
125,3324.232741,281.5725228,101.5725228,-160.507384,74.30868551
126,2634.588494,282.3565736,102.3565736,-160.5089558,74.31336841
127,2904.314727,288.6005907,108.6005907,-160.3807878,74.28480774
128,2210.031867,289.9026675,109.9026675,-160.3843969,74.28321823
129,1037.603023,109.7063194,109.7063194,-160.3227557,74.28196764
130,3116.808196,290.3746227,110.3746227,-160.3786495,74.29208368
131,3435.111809,286.2222709,106.2222709,-160.4808411,74.31278283
132,6974.195717,108.2739083,108.2739083,-160.4328779,74.30719291
133,8139.043649,289.700974,109.700974,-160.4107715,74.30666539
134,6057.256053,290.4657265,110.4657265,-160.3716979,74.30318851
135,1559.386627,293.7703616,113.7703616,-160.3922188,74.29192141
136,5494.557122,108.4504829,108.4504829,-160.3624232,74.3103333
137,4936.63426,288.2557675,108.2557675,-160.3748998,74.31017431
138,1729.825618,107.3224616,107.3224616,-160.2897564,74.30088669
139,2021.494916,111.3379885,111.3379885,-160.1832084,74.38100965
140,1940.833546,111.7190075,111.7190075,-160.1797592,74.37781849
141,828.0445599,111.0689942,111.0689942,-160.1919474,74.37662746
142,1325.849597,113.374525,113.374525,-160.1905676,74.36984759
143,1921.074804,111.6719098,111.6719098,-160.2006778,74.36833182
144,2260.830034,110.1477825,110.1477825,-160.2055778,74.36745383
145,2476.212257,98.57853783,98.57853783,-160.2750441,74.37861996
146,2590.58054,94.24234979,94.24234979,-160.2688652,74.38371704
147,2619.448569,95.39494715,95.39494715,-160.2427703,74.39006723
148,11287.80178,260.3302398,80.33023982,-160.1939061,74.5585257
149,5301.345256,80.7038884,80.7038884,-160.1341244,74.55780147
150,5384.047234,258.2976458,78.29764582,-160.2846872,74.5669477
151,7655.76841,260.1415937,80.14159373,-160.1610196,74.55337606
152,4486.137028,259.7664701,79.76647013,-160.1070558,74.54904758
153,4439.038405,259.1145391,79.1145391,-160.1634225,74.54972246
154,5701.915223,258.658948,78.65894799,-160.2532744,74.54913484
155,5142.271423,258.3830112,78.38301117,-160.1827173,74.5483914
156,4914.074806,260.3139896,80.31398961,-160.251164,74.5466349
157,6266.996728,260.8230021,80.82300211,-160.2681263,74.54481447
